Abiskomyia,Arctopelopia...Thienemannimyia,Corynocera.oliveri.type,Chironominae.early.instar,Chironomus.anthracinus.type,Chironomus.plumosus.type,Chironomus.undifferentiated,Cladopelma,Cladotanytarsus.mancus,Corynocera.ambigua,Corynoneura.arctica,Corynoneura.edwardsii,Corynoneura.Type.A,Corynoneura.Thienemanniella.undif.,Cricotopus.laricomalis,Cricotopus.cylindraceus.type,Cricotopus.intersectus,Cricotopus.tremulus.group,Cricotopus.type.P,Cricotopus.undifferentiated,Diamesa..aberra,Dicrotendipes,Diplocladius,Eukiefferiella.claripennis.type,Eukiefferiella.fittkaui,Eukiefferiella.undiff.,Heterotrissocladius.grimshawii,Heterotrissocladius.maeaeri.type.1,Heterotrissocladius.maeaeri.type.2,Heterotrissocladius.marcidus,Heterotrissocladius.subpilosus,Heterotrissocladius.undiff,Hydrobaenus.confirmis,Hydrobaenus.johannseni,Hydrobaenus.unknown,Limnophyes...Paralimnophyes,Mesocricotopus,Metriocnemus,Micropsectra.contracta,Micropsectra.insignilobus.type,Micropsectra.pallidula.type,Micropsectra.radialis.type,Micropsectra.undifferentiated,Oliveridia,Orthocladius.consobrinus,Orthocladius.oliveri,Orthocladius.trigonolabis.type,Orthocladius.type.i,Orthocladius.type.S,Paracladius,Paracladopelma,Parakiefferiella.sp.B,Parakiefferiella.nigra,Parakiefferiella.triquetra,Paratanytarsus.austriacus.type,Paratanytarsus.penicillatus.type,Paratanytarsus.undiff,Procladius,Protanypus,Psectrocladius..Mono..calcaratus,Psectrocladius.barmimanus,Psectrocladius.meso.barbatipes,Psectrocladius.psilopterus.type,Psectrocladius.septentrionalis.type,Psectrocladius.sordidellus,Psectrocladius.allopsectrocladius,Psectrocladius.undiff.,Pseudodiamesa,Pseudodiamesa.early.instar,Pseudorthocladius,Pseudosmittia,Sergentia.coracina.type,Smittia...Parasmittia,Stictochironomus,Tanytarsus.lugens.type,Tanytarsus.lactescens.type,Tanytarsus.nr.glabrescens.type,Tanytarsus.pallidicornis.type,Tribelos.atrum.type,Tvetenia.bavarica.type,Zalut.sp..C,Zalutschia.lingulata.pauca,Zavrelimyia.type,Pentaneurini.undifferentiated
14.59854015,0,0,14.59854015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927007,1.459854015,0,8.759124088,0,0,0,0,0,0,0,0,0,0,0,0,1.459854015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459854015,0,0,40.87591241,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.793650794,0,6.349206349,0,0,0,0,0,0,0,0,0,0,0,1.587301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.63492063,0,7.936507937,0,7.936507937,0,0,0,0,0,0,0,3.968253968,1.587301587,0,0,1.587301587,0,0.793650794,0,0,4.761904762,1.587301587,0,0,0,0,0,0,2.380952381,0,0,0,0,2.380952381,0,4.761904762,0,0,15.07936508,0,0,0,0,0,0,0,0,0
1.030927835,0.687285223,10.30927835,0,1.374570447,0,0,0,0,17.18213058,1.718213058,0,0,0,1.718213058,0,1.374570447,1.374570447,0,0,0,0.687285223,0,0,0,0.343642612,0,0,0,0,0,0,0,0,0,0.687285223,0,0,0,0.687285223,0,0,0,0,1.030927835,0,0,2.06185567,0,0.687285223,0,0,0,0,0,2.06185567,2.06185567,4.12371134,0.343642612,0,0,0,0,0,2.405498282,0,0,0,0,0,0,12.02749141,0,0,0.687285223,0,0,0,0,0,0,12.02749141,0,0.687285223
1.286173633,0,4.501607717,1.286173633,1.92926045,0.321543408,0,0,0,0.643086817,4.823151125,0,0,0,1.286173633,3.8585209,0,0,1.286173633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.180064309,0,2.250803859,0.643086817,0,0,0,0,0,1.607717042,0,0,19.2926045,0,0,0,0,0,0,0.643086817,0,3.215434084,3.536977492,0,0,0,0.643086817,0,0.643086817,0,0,0,0.643086817,0,0,0,6.430868167,0,0,5.78778135,0,0,0,0,0,0,21.54340836,0,0
0,0,1.162790698,0,5.23255814,0,0,0,2.325581395,0,4.651162791,0,0,0,5.23255814,0,0,0,0,0,0,0.581395349,0,0,0,0,0,0,0,0,0,0,0,0,1.744186047,16.27906977,0,2.325581395,0,0,0,0,0,0,1.162790698,0,0,6.395348837,4.069767442,0,0,0,0,0,0,5.813953488,5.23255814,1.162790698,0,0.581395349,0,0,0,1.162790698,8.720930233,0,0,0,0,0,2.325581395,2.325581395,0,0,0,0,0,0,0,0,0,5.813953488,0,0
6.360424028,0,1.413427562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35335689,0,0,0,0,0,0,0,0,0,9.187279152,8.833922261,9.540636042,0,27.91519435,0,0.706713781,0,0,1.766784452,0,10.24734982,6.360424028,0,0,0,0,0,0,0,0.35335689,0,0.706713781,0,0,0.706713781,0,0.706713781,0,0,0,3.180212014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.067137809,0,0,0
2.415458937,0,1.93236715,0,0,0,0,0,0,0,7.246376812,0,0,0,0,0,3.8647343,0,0,0.483091787,0,0,0,0,0,0.483091787,0,5.314009662,8.212560386,3.8647343,0,4.347826087,0.483091787,5.314009662,0.483091787,0.966183575,0,0,2.898550725,10.62801932,0,0,0,0,1.449275362,0,0,2.898550725,2.898550725,0,0,0.966183575,1.93236715,0,0,0.966183575,6.280193237,0,0,0,0,0,0,0,2.415458937,0,0,0,0,0,0,4.830917874,0.483091787,0.966183575,0,0.966183575,0,0,0,6.280193237,0.966183575,0,0,0
3.96039604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98019802,0,0,0,0,0,0,0,0,0,0,9.900990099,8.910891089,3.96039604,18.81188119,0,0,0,0,0,0,5.940594059,22.77227723,0,0,0,0.99009901,0,0,0,0,0,0,0,0,3.96039604,0,0,0,0,0,4.95049505,0,0,0,0,0,0,0,0,3.96039604,0,0,0,1.98019802,0,0,0,0,0,0,0,0,5.940594059,0,0,0
0,0,12.28070175,0,0,0,0,0,0,0,1.169590643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50877193,2.923976608,0,4.093567251,0,0,0,0,0,0,4.678362573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169590643,0,0,0,3.50877193,1.754385965,0,0,0,0,0,12.86549708,0,0,0,0,0,0,4.093567251,0.584795322,2.339181287,0,0,0,0,0,0,29.8245614,0,0,0
0,0,1.941747573,0,1.941747573,0,0,1.941747573,1.941747573,0,1.941747573,0,0,0,0,0,4.854368932,0,0,0,0,3.883495146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.941747573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.941747573,0,9.708737864,0,1.941747573,0,0,0,0,31.06796117,0,0,0,0,0,0,5.825242718,0,0,13.59223301,0,0,1.941747573,0,0,0,1.941747573,0,0
0,0,1.503759398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.766917293,0.751879699,0,18.79699248,0,0,0,0,0,0,8.270676692,17.29323308,0,0,1.503759398,0,0,0,0,0,0,1.503759398,0,0,0,0,0,0,2.255639098,7.518796992,0.751879699,0,0,0,0,0,9.77443609,0,0,0,0,0,0,2.255639098,0,11.27819549,0,0,0,0,1.503759398,0,6.015037594,0,0,0
